PLUMBNG 026,Plumbing Layout And Estimating I,Mo 6:00PM - 9:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 031,Backflow Prevention Devices,TuTh 6:00PM - 6:40PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 031,Backflow Prevention Devices,TuTh 6:50PM - 9:05PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 033,Plumbing Code III,We 6:00PM - 9:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 111,Introduction To Plumbing,TuTh 7:00AM - 7:30AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 111,Introduction To Plumbing,TuTh 7:40AM - 10:50AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 112,Fundamentals Of Plumbing,Mo 6:00PM - 9:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 112,Fundamentals Of Plumbing,TuTh 11:00AM - 12:25PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 113,Basic Plumbing Principles And Practices,MoWeFr 7:00AM - 8:05AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 113,Basic Plumbing Principles And Practices,MoWeFr 8:15AM - 11:15AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 121,Working Drawings And Layout I,MoWe 7:00AM - 8:25AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 122,Plumbing Mathematics And Procedures II,TuTh 7:00AM - 8:25AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 123,Plumbing Practices And Installation,MoWe 8:35AM - 9:20AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 123,Plumbing Practices And Installation,MoWe 9:30AM - 11:50AMTuTh 8:35AM - 11:40AMFr 7:00AM - 10:35AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/201902/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 131,Working Drawing II,TuTh 7:00AM - 8:25AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 132,Plumbing Mathematics And Procedures II,TuTh 8:25AM - 8:55AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 132,Plumbing Mathematics And Procedures II,TuTh 9:05AM - 12:15PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 133,Installation And Plumbing Fixtures,MoWeFr 7:00AM - 8:05AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 133,Installation And Plumbing Fixtures,MoWeFr 8:15AM - 10:45AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 141,Advance Layout And Procedures,MoWe 7:00AM - 8:25AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 142,Servicing Of Plumbing Fixtures And Appliances,MoWe 8:35AM - 9:20AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 142,Servicing Of Plumbing Fixtures And Appliances,MoWe 9:30AM - 11:55AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 143,Plumbing Code I,TuTh 7:00AM - 7:40AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 143,Plumbing Code I,TuTh 7:50AM - 10:05AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 144,Special Purposes Installation,TuTh 10:20AM - 11:00AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 144,Special Purposes Installation,Fr 7:00AM - 10:10AMTuTh 11:10AM - 11:55AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 246,Principles And Practices Of Plumbing Design and Layout,WeFr 6:00PM - 7:25PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
PLUMBNG 246,Principles And Practices Of Plumbing Design and Layout,WeFr 7:35PM - 9:40PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,PLUMBNG,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 020,Welding Laboratory - Gas & Electric,MoTuWeThFr 10:10AM - 10:45AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 030,Welding Laboratory - Electric I,MoTuWeThFr 10:10AM - 10:45AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 040,Welding Laboratory - Electric Ii,MoTuWeThFr 10:10AM - 10:45AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 050,Welding Laboratory - Electric III,MoTuWeThFr 10:10AM - 10:45AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 100,Metal Sculpture I,Sa 8:00AM - 2:30PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 111,"Acetylene Welding, Cutting And Brazing",MoWeFr 7:00AM - 10:10AMTuTh 7:00AM - 10:10AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 112,Welding Related Technical Instructions I,Th 10:45AM - 1:55PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 113,Applied Mathematics I,We 10:45AM - 1:55PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 121,Electric Welding I,MoTuWeThFr 7:00AM - 10:10AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 124,Blueprint Reading I,Mo 10:45AM - 1:55PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 125,Applied Mathematics II,Fr 10:45AM - 1:55PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 131,Electric Welding Ii,MoWeFr 7:00AM - 10:10AMTuTh 7:00AM - 10:10AM,02/04/2019 - 06/03/201902/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 132,Blueprint Reading II,Tu 10:45AM - 1:55PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 133,Welding Related Technical Instruction III,Fr 10:45AM - 1:55PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 141,Electric Welding Iii,MoTuWeThFr 7:00AM - 10:10AM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
WELDG/E 141,Electric Welding Iii,MoTuWeThFr 11:00AM - 2:10PM,02/04/2019 - 06/03/2019,LA Trade-Technical College,WELDG/E,"400 W. Washington Blvd, Los Angeles, CA 90015"
